nct_id,Title,Conditions,Phases,Enrollment,DurationWeeks,Arms,DrugClass,Comparator,Masking,Allocation,InterventionModel,SponsorType,Region,PrimaryEndpoint,BaselineHbA1c,HbA1c_SD,EffectSize_HbA1c,PValue_HbA1c,Study Status,Study Results,label_reason,success_label_basic
NCT18032585,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,128,11,2,Other,Placebo,Double,Randomized,Parallel,Industry,North America,Weight,8.87,1.15,,,Completed,Has Results,Not met / not primary / not significant,0
NCT79656043,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,89,13,3,NovelSmallMolecule,StandardOfCare,Open Label,Randomized,Parallel,Industry,Europe,CGM TIR,8.64,1.29,-0.148,0.44264340440375505,Completed,Has Results,Not met / not primary / not significant,0
NCT49499059,Phase 2 TZD trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,77,19,3,TZD,StandardOfCare,Single,Randomized,Parallel,Industry,North America,FPG change,8.85,1.09,-0.948,6.771753080503373e-08,Terminated,Has Results,Not met / not primary / not significant,0
NCT48971370,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,62,9,3,GLP-1RA,Active,Open Label,Randomized,Parallel,Academic,Other,HbA1c change,8.88,1.21,-1.022,2.680640770580389e-06,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT87273811,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,76,15,3,Other,Placebo,Double,Randomized,Single Group,Industry,Multi-Region,FPG change,9.45,0.85,-0.632,5.043239107327402e-06,Completed,Has Results,Not met / not primary / not significant,0
NCT17735107,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,100,23,2,GLP-1RA,Placebo,Double,Randomized,Parallel,Industry,Europe,HbA1c change,8.38,1.74,,,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT72763121,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,70,17,6,SGLT2i,Placebo,Double,Randomized,Parallel,Academic,Europe,HbA1c change,8.51,1.03,-0.658,0.00015596489742086828,Terminated,No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT18475961,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,104,23,4,GLP-1RA,Placebo,Single,Randomized,Parallel,Industry,Europe,HbA1c change,9.05,1.15,-1.149,6.019629239517599e-13,Recruiting,No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT57383107,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,64,23,3,NovelSmallMolecule,Active,Open Label,Randomized,Parallel,Industry,North America,CGM TIR,8.06,1.24,-0.276,0.20856728261080726,Completed,Has Results,Not met / not primary / not significant,0
NCT97806010,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,47,16,3,SGLT2i,Active,Double,Randomized,Parallel,Industry,North America,CGM TIR,7.47,1.0,-0.392,0.05653416704150904,Completed,Has Results,Not met / not primary / not significant,0
NCT76217712,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,144,4,2,Other,Placebo,Double,Non-Randomized,Single Group,Industry,North America,Composite,8.75,1.1,-0.252,0.05214858703190295,Completed,Has Results,Not met / not primary / not significant,0
NCT78502572,Phase 2 TZD trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,80,9,3,TZD,Placebo,Double,Randomized,Parallel,Industry,North America,Composite,8.26,1.1,-1.001,8.248057792314967e-09,Completed,Has Results,Not met / not primary / not significant,0
NCT74572954,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,68,21,2,GLP-1RA,Placebo,Open Label,Randomized,Parallel,Industry,Asia,Weight,7.55,0.87,-1.001,2.0953350166053042e-11,Completed,Has Results,Not met / not primary / not significant,0
NCT80745786,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,61,7,3,GLP-1RA,StandardOfCare,Open Label,Randomized,Parallel,Industry,North America,HbA1c change,8.75,1.21,-1.214,2.9569274917484734e-08,"Active, not recruiting",No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT56190391,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,120,14,4,GLP-1RA,Active,Open Label,Non-Randomized,Crossover,Industry,North America,Weight,9.4,0.69,-0.768,0.0,Completed,Has Results,Not met / not primary / not significant,0
